Source,Target,Type,id,weight,book
Addam-Marbrand,Brynden-Tully,Undirected,0,3,all
Addam-Marbrand,Cersei-Lannister,Undirected,1,3,all
Addam-Marbrand,Gyles-Rosby,Undirected,2,3,all
Addam-Marbrand,Jaime-Lannister,Undirected,3,14,all
Addam-Marbrand,Jalabhar-Xho,Undirected,4,3,all
Addam-Marbrand,Joffrey-Baratheon,Undirected,5,3,all
Addam-Marbrand,Kevan-Lannister,Undirected,6,3,all
Addam-Marbrand,Lyle-Crakehall,Undirected,7,4,all
Addam-Marbrand,Oberyn-Martell,Undirected,8,3,all
Addam-Marbrand,Tyrion-Lannister,Undirected,9,7,all
Addam-Marbrand,Tywin-Lannister,Undirected,10,6,all
Addam-Marbrand,Varys,Undirected,11,4,all
Aegon-Frey-(son-of-Stevron),Catelyn-Stark,Undirected,12,4,all
Aegon-Frey-(son-of-Stevron),Robb-Stark,Undirected,13,5,all
Aegon-Frey-(son-of-Stevron),Stevron-Frey,Undirected,14,3,all
Aegon-Frey-(son-of-Stevron),Walder-Frey,Undirected,15,6,all
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,16,13,all
Aegon-I-Targaryen,Eddard-Stark,Undirected,17,4,all
Aegon-I-Targaryen,Harren-Hoare,Undirected,18,4,all
Aegon-I-Targaryen,Nan,Undirected,19,3,all
Aegon-I-Targaryen,Rhaenys-Targaryen,Undirected,20,4,all
Aegon-I-Targaryen,Stannis-Baratheon,Undirected,21,4,all
Aegon-I-Targaryen,Torrhen-Stark,Undirected,22,3,all
Aegon-I-Targaryen,Tyrion-Lannister,Undirected,23,3,all
Aegon-I-Targaryen,Visenya-Targaryen,Undirected,24,3,all
Aegon-Targaryen-(son-of-Rhaegar),Daenerys-Targaryen,Undirected,25,11,all
Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,Undirected,26,7,all
Aegon-Targaryen-(son-of-Rhaegar),Franklyn-Flowers,Undirected,27,3,all
Aegon-Targaryen-(son-of-Rhaegar),Haldon,Undirected,28,14,all
Aegon-Targaryen-(son-of-Rhaegar),Harry-Strickland,Undirected,29,9,all
Aegon-Targaryen-(son-of-Rhaegar),Jon-Connington,Undirected,30,16,all
Aegon-Targaryen-(son-of-Rhaegar),Lemore,Undirected,31,10,all
Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,Undirected,32,12,all
Aegon-Targaryen-(son-of-Rhaegar),Rhaenys-Targaryen-(daughter-of-Rhaegar),Undirected,33,4,all
Aegon-Targaryen-(son-of-Rhaegar),Rolly-Duckfield,Undirected,34,11,all
