Name,Allegiances,Book of Death,Gender,Nobility,alive_book1,alive_book2,alive_book3,alive_book45
Benjen Stark,Night's Watch,1,1,1,0,1,1,1
Cayn,House Stark,1,1,0,0,1,1,1
Chiggen,Lannister,1,1,0,0,1,1,1
Cohollo,None,1,1,0,0,1,1,1
Conn,Lannister,1,1,0,0,1,1,1
Cressen,Baratheon,1,1,0,0,1,1,1
Daryn Hornwood,Stark,1,1,1,0,1,1,1
Desmond,House Stark,1,1,0,0,1,1,1
Drogo,Targaryen,1,1,1,0,1,1,1
Eddard Karstark,Stark,1,1,1,0,1,1,1
Eddard Stark,House Stark,1,1,1,0,1,1,1
Eroeh,Targaryen,1,1,0,0,1,1,1
Fogo,None,1,1,1,0,1,1,1
Gared,Night's Watch,1,1,0,0,1,1,1
Gladden Wylde,Stark,1,1,1,0,1,1,1
Haggo,None,1,1,0,0,1,1,1
Hali,Wildling,1,0,0,0,1,1,1
Halys Hornwood,Stark,1,1,1,0,1,1,1
Heward,House Stark,1,1,0,0,1,1,1
Hugh,House Arryn,1,1,0,0,1,1,1
Hullen,House Stark,1,1,0,0,1,1,1
Jory Cassel,Stark,1,1,1,0,1,1,1
Jyck,House Lannister,1,1,0,0,1,1,1
Kurleket,None,1,1,0,0,1,1,1
Lharys,Stark,1,1,1,0,1,1,1
Masha Heddle,Tully,1,0,0,0,1,1,1
Mirri Maz Duur,None,1,0,0,0,1,1,1
Mohor,None,1,1,1,0,1,1,1
Mordane,House Stark,1,0,0,0,1,1,1
Morrec,House Lannister,1,1,0,0,1,1,1
Mycah,Stark,1,1,0,0,1,1,1
Ogo,None,1,1,1,0,1,1,1
Qotho,None,1,1,0,0,1,1,1
Quaro,Targaryen,1,1,0,0,1,1,1
Raymun Darry,Targaryen,1,1,1,0,1,1,1
Robert Baratheon,House Baratheon,1,1,1,0,1,1,1
Stiv,Wildling,1,1,0,0,1,1,1
Syrio Forel,House Stark,1,1,0,0,1,1,1
Tomard,House Stark,1,1,0,0,1,1,1
Torrhen Karstark,Stark,1,1,1,0,1,1,1
Tregar,House Lannister,1,1,0,0,1,1,1
Ulf son of Umar,Lannister,1,1,0,0,1,1,1
Vardis Egen,Arryn,1,1,0,0,1,1,1
Vayon Poole,Stark,1,1,0,0,1,1,1
Viserys Targaryen,House Targaryen,1,1,1,0,1,1,1
Wallen,Wildling,1,1,0,0,1,1,1
Waymar Royce,Night's Watch,1,1,1,0,1,1,1
Will,Night's Watch,1,1,0,0,1,1,1
Wyl (guard),House Stark,1,1,0,0,1,1,1
Aggar,House Greyjoy,2,1,0,1,0,1,1
Alebelly,House Stark,2,1,0,1,0,1,1
Allard Seaworth,Baratheon,2,1,1,1,0,1,1
Amory Lorch,House Lannister,2,1,1,1,0,1,1
Aron Santagar,Lannister,2,1,1,1,0,1,1
Barra,None,2,0,0,1,0,1,1
Benfred Tallhart,Stark,2,1,1,1,0,1,1
Bryan Fossoway,Baratheon,2,1,1,1,0,1,1
Bryce Caron,Baratheon,2,1,1,1,0,1,1
Burton Crakehall,Lannister,2,1,1,1,0,1,1
Chayle,Stark,2,1,0,1,0,1,1
Chiswyck,None,2,1,0,1,0,1,1
Cley Cerwyn,Stark,2,1,1,1,0,1,1
Cortnay Penrose,Baratheon,2,1,1,1,0,1,1
Dalbridge,Night's Watch,2,1,0,1,0,1,1
Dale Seaworth,Baratheon,2,1,1,1,0,1,1
Dobber,None,2,1,0,1,0,1,1
Donella Hornwood,Stark,2,0,1,1,0,1,1
Doreah,House Targaryen,2,0,0,1,0,1,1
Drennan,House Greyjoy,2,1,0,1,0,1,1
Dykk Harlaw,Greyjoy,2,1,0,1,0,1,1
Ebben,Night's Watch,2,1,0,1,0,1,1
Emmon Cuy,Baratheon,2,1,1,1,0,1,1
Farlen,House Stark,2,1,0,1,0,1,1
Gelmarr,House Greyjoy,2,1,0,1,0,1,1
Gerren,None,2,1,0,1,0,1,1
Gevin Harlaw,Greyjoy,2,1,1,1,0,1,1
Guyard Morrigen,Baratheon,2,1,1,1,0,1,1
Gynir,House Greyjoy,2,1,0,1,0,1,1
Harra,None,2,0,0,1,0,1,1
Jacelyn Bywater,Lannister,2,0,1,1,0,1,1
Kenned,House Greyjoy,2,1,0,1,0,1,1
Koss,Night's Watch,2,1,0,1,0,1,1
Kromm,House Greyjoy,2,1,0,1,0,1,1
Kurz,Night's Watch,2,1,0,1,0,1,1
Leo Lefford,Lannister,2,1,1,1,0,1,1
Leobald Tallhart,Stark,2,1,1,1,0,1,1
Lommy,Night's Watch,2,1,0,1,0,1,1
Lorren,Greyjoy,2,1,0,1,0,1,1
Lucan,None,2,1,0,1,0,1,1
Luwin,House Stark,2,1,0,1,0,1,1
Mandon Moore,Baratheon,2,1,1,1,0,1,1
Maric Seaworth,House Baratheon,2,1,1,1,0,1,1
Matthos Seaworth,Baratheon,2,1,1,1,0,1,1
Medger Cerwyn,Stark,2,1,1,1,0,1,1
Mikken,House Stark,2,1,0,1,0,1,1
Myles,House Tully,2,1,0,1,0,1,1
Orell,Wildling,2,1,0,1,0,1,1
Porther,House Stark,2,1,0,1,0,1,1
Poul Pemford,House Tully,2,1,0,1,0,1,1
Poxy Tym,House Stark,2,1,0,1,0,1,1
Praed,None,2,1,0,1,0,1,1
Preston Greenfield,Baratheon,2,1,0,1,0,1,1
Qhorin Halfhand,Night's Watch,2,1,0,1,0,1,1
Qyle,Night's Watch,2,1,0,1,0,1,1
Red Rolfe,House Greyjoy,2,1,0,1,0,1,1
Reek,None,2,1,0,1,0,1,1
Renly Baratheon,House Baratheon,2,1,1,1,0,1,1
Robar Royce,Baratheon,2,1,1,1,0,1,1
Rodrik Cassel,Stark,2,1,1,1,0,1,1
Rupert Brax,House Lannister,2,1,0,1,0,1,1
Squint,House Greyjoy,2,1,0,1,0,1,1
Stevron Frey,Stark,2,1,1,1,0,1,1
Todric,Greyjoy,2,1,0,1,0,1,1
Tothmure,Lannister,2,1,0,1,0,1,1
Tymor,House Greyjoy,2,1,0,1,0,1,1
Tyrek Lannister,House Lannister,2,1,1,1,0,1,1
Ulf the Ill,House Greyjoy,2,1,0,1,0,1,1
Urreg,Night's Watch,2,1,0,1,0,1,1
Weese,Lannister,2,1,0,1,0,1,1
Werlag,House Greyjoy,2,1,0,1,0,1,1
Woth,Night's Watch,2,1,0,1,0,1,1
Yoren,Night's Watch,2,1,0,1,0,1,1
Aegon Frey (Jinglebell),None,3,1,1,1,1,0,1
Alyn,House Stark,3,1,0,1,1,0,1
Anvil Ryn,None,3,1,0,1,1,0,1
Bannen,Night's Watch,3,1,0,1,1,0,1
Becca the Baker,None,3,0,0,1,1,0,1
Brown Bernarr,Night's Watch,3,1,0,1,1,0,1
Byam Flint,Night's Watch,3,1,0,1,1,0,1
Catelyn Tully,House Stark,3,0,1,1,1,0,1
Chett,Night's Watch,3,1,0,1,1,0,1
Cleos Frey,None,3,1,1,1,1,0,1
Craster,None,3,1,0,1,1,0,1
Dacey Mormont,Stark,3,0,1,1,1,0,1
Dalla,Wildling,3,0,1,1,1,0,1
Del,Wildling,3,1,0,1,1,0,1
Delp,House Tully,3,1,0,1,1,0,1
Dick Follard,Night's Watch,3,1,0,1,1,0,1
Donal Noye,Night's Watch,3,1,0,1,1,0,1
Donnel Locke,Stark,3,1,1,1,1,0,1
Dontos Hollard,None,3,1,1,1,1,0,1
Dornish Dilly,Night's Watch,3,1,0,1,1,0,1
Dudley,Stark,3,1,0,1,1,0,1
Easy,Night's Watch,3,1,0,1,1,0,1
Elwood,House Tully,3,1,0,1,1,0,1
Endrew Tarth,Night's Watch,3,1,0,1,1,0,1
Eon Hunter,Arryn,3,1,1,1,1,0,1
Fletcher Will,None,3,1,0,1,1,0,1
Garse Goodbrook,None,3,1,1,1,1,0,1
Garth of Oldtown,Night's Watch,3,1,0,1,1,0,1
Grazdan,None,3,1,1,1,1,0,1
Grazdan mo Ullhor,None,3,1,1,1,1,0,1
Guncer Sunglass,Baratheon,3,1,1,1,1,0,1
Hake,Night's Watch,3,1,0,1,1,0,1
Harma,Wildling,3,0,1,1,1,0,1
Helman Tallhart,Stark,3,1,1,1,1,0,1
Hoster Tully,House Tully,3,1,1,1,1,0,1
Iggo,None,3,1,0,1,1,0,1
Imry Florent,Baratheon,3,1,1,1,1,0,1
Jarl,Wildling,3,1,0,1,1,0,1
Jate Blackberry,House Baratheon,3,1,0,1,1,0,1
Jeor Mormont,Night's Watch,3,1,1,1,1,0,1
Joffrey Baratheon,House Lannister,3,1,1,1,1,0,1
Jon Umber (Smalljon),Stark,3,1,1,1,1,0,1
Kraznys mo Nakloz,None,3,1,1,1,1,0,1
Kyle (Banners),None,3,1,0,1,1,0,1
Lark,Night's Watch,3,1,0,1,1,0,1
Lucas Blackwood,Tully,3,1,1,1,1,0,1
Lyman Darry,Tully,3,1,1,1,1,0,1
Lysa Tully,House Arryn,3,0,1,1,1,0,1
Maerie (Goodwife),None,3,0,0,1,1,0,1
Maerie (Whore),None,3,0,0,1,1,0,1
Mag Mar Tun Doh Weg,Wildling,3,1,1,1,1,0,1
Maslyn,Night's Watch,3,1,0,1,1,0,1
Mero,None,3,1,0,1,1,0,1
Merrett Frey,None,3,1,1,1,1,0,1
Monford Velaryon,Baratheon,3,1,1,1,1,0,1
Mudge (miller),None,3,1,0,1,1,0,1
Nolla,None,3,0,0,1,1,0,1
Oberyn Martell,House Martell,3,1,1,1,1,0,1
Old Henly,Night's Watch,3,1,0,1,1,0,1
Ottyn Wythers,Night's Watch,3,1,0,1,1,0,1
Owen Norrey,Tully,3,1,1,1,1,0,1
Oznak zo Pahl,None,3,1,1,1,1,0,1
Pate (Lancewood),None,3,1,0,1,1,0,1
Petyr Frey,None,3,1,1,1,1,0,1
Polliver,None,3,1,0,1,1,0,1
Prendahl na Ghezn,None,3,1,0,1,1,0,1
Quort,Wildling,3,1,0,1,1,0,1
Randa,None,3,0,0,1,1,0,1
Rast,Night's Watch,3,1,0,1,1,0,1
Raynald Westerling,Stark,3,1,1,1,1,0,1
Red Alyn,Night's Watch,3,1,0,1,1,0,1
Rickard Karstark,Stark,3,1,1,1,1,0,1
Robb Stark,House Stark,3,1,1,1,1,0,1
Robin Flint,Stark,3,1,1,1,1,0,1
Rolley,Night's Watch,3,1,0,1,1,0,1
Sallor,None,3,1,0,1,1,0,1
Shae,Lannister,3,0,0,1,1,0,1
Small Paul,Night's Watch,3,1,0,1,1,0,1
Softfoot,Night's Watch,3,1,0,1,1,0,1
Spotted Pate of Maidenpool,Night's Watch,3,1,0,1,1,0,1
Stone Thumbs,Wildling,3,1,0,1,1,0,1
Styr,Wildling,3,1,1,1,1,0,1
Symon Silver Tongue,Lannister,3,1,0,1,1,0,1
Thoren Smallwood,Night's Watch,3,1,1,1,1,0,1
Tickler,Lannister,3,1,0,1,1,0,1
Tion Frey,Lannister,3,0,1,1,1,0,1
Tytos Frey,None,3,1,1,1,1,0,1
Tywin Lannister,House Lannister,3,1,1,1,1,0,1
Utt,None,3,1,0,1,1,0,1
Vargo Hoat,None,3,1,0,1,1,0,1
Watt,Night's Watch,3,1,0,1,1,0,1
Wendel Manderly,Stark,3,1,1,1,1,0,1
Wilbert,Stark,3,1,0,1,1,0,1
Willem Lannister,House Lannister,3,1,1,1,1,0,1
Wyl the Whittler,None,3,1,0,1,1,0,1
Ygritte,Wildling,3,0,0,1,1,0,1
Young Henly,Night's Watch,3,1,0,1,1,0,1
Aemon Targaryen (son of Maekar I),Night's Watch,4,1,1,1,1,1,0
Alester Florent,Baratheon,4,1,1,1,1,1,0
Arys Oakheart,Lannister,4,1,1,1,1,1,0
Bennet,None,4,1,0,1,1,1,0
Beric Dondarrion,None,4,1,1,1,1,1,0
Biter,None,4,1,0,1,1,1,0
Cragorn,House Greyjoy,4,1,0,1,1,1,0
