"","Source","Target","Type","weight","book"
"1","Addam-Marbrand","Jaime-Lannister","Undirected",3,"1"
"2","Addam-Marbrand","Tywin-Lannister","Undirected",6,"1"
"3","Aegon-I-Targaryen","Daenerys-Targaryen","Undirected",5,"1"
"4","Aegon-I-Targaryen","Eddard-Stark","Undirected",4,"1"
"5","Aemon-Targaryen-(Maester-Aemon)","Alliser-Thorne","Undirected",4,"1"
"6","Aemon-Targaryen-(Maester-Aemon)","Bowen-Marsh","Undirected",4,"1"
"7","Aemon-Targaryen-(Maester-Aemon)","Chett","Undirected",9,"1"
"9","Aemon-Targaryen-(Maester-Aemon)","Jeor-Mormont","Undirected",13,"1"
"10","Aemon-Targaryen-(Maester-Aemon)","Jon-Snow","Undirected",34,"1"
"12","Aerys-II-Targaryen","Brandon-Stark","Undirected",4,"1"
"13","Aerys-II-Targaryen","Eddard-Stark","Undirected",10,"1"
"15","Aerys-II-Targaryen","Jaime-Lannister","Undirected",5,"1"
"16","Aerys-II-Targaryen","Jon-Arryn","Undirected",3,"1"
"17","Aerys-II-Targaryen","Robert-Baratheon","Undirected",12,"1"
"18","Aggo","Daenerys-Targaryen","Undirected",11,"1"
"19","Aggo","Drogo","Undirected",6,"1"
"20","Aggo","Jhogo","Undirected",4,"1"
"21","Aggo","Jorah-Mormont","Undirected",5,"1"
"24","Albett","Halder","Undirected",3,"1"
"25","Albett","Jon-Snow","Undirected",5,"1"
"27","Alliser-Thorne","Bowen-Marsh","Undirected",3,"1"
"28","Alliser-Thorne","Grenn","Undirected",3,"1"
"29","Alliser-Thorne","Halder","Undirected",4,"1"
"30","Alliser-Thorne","Jeor-Mormont","Undirected",10,"1"
"31","Alliser-Thorne","Jon-Snow","Undirected",32,"1"
"32","Alliser-Thorne","Pypar","Undirected",4,"1"
"35","Alliser-Thorne","Tyrion-Lannister","Undirected",7,"1"
"36","Alyn","Eddard-Stark","Undirected",11,"1"
"38","Alyn","Jory-Cassel","Undirected",8,"1"
"39","Alyn","Robert-Baratheon","Undirected",4,"1"
"42","Arya-Stark","Benjen-Stark","Undirected",3,"1"
"43","Arya-Stark","Bran-Stark","Undirected",14,"1"
"44","Arya-Stark","Catelyn-Stark","Undirected",5,"1"
"45","Arya-Stark","Cersei-Lannister","Undirected",12,"1"
"47","Arya-Stark","Eddard-Stark","Undirected",30,"1"
"48","Arya-Stark","Ilyn-Payne","Undirected",5,"1"
"49","Arya-Stark","Jeyne-Poole","Undirected",10,"1"
"50","Arya-Stark","Joffrey-Baratheon","Undirected",39,"1"
"51","Arya-Stark","Jon-Snow","Undirected",37,"1"
"52","Arya-Stark","Jory-Cassel","Undirected",12,"1"
"53","Arya-Stark","Meryn-Trant","Undirected",4,"1"
"54","Arya-Stark","Mordane","Undirected",39,"1"
"55","Arya-Stark","Mycah","Undirected",18,"1"
"56","Arya-Stark","Myrcella-Baratheon","Undirected",13,"1"
"57","Arya-Stark","Petyr-Baelish","Undirected",3,"1"
"58","Arya-Stark","Rickon-Stark","Undirected",7,"1"
"59","Arya-Stark","Robb-Stark","Undirected",15,"1"
"60","Arya-Stark","Robert-Baratheon","Undirected",8,"1"
"61","Arya-Stark","Rodrik-Cassel","Undirected",3,"1"
"62","Arya-Stark","Sandor-Clegane","Undirected",7,"1"
"63","Arya-Stark","Sansa-Stark","Undirected",104,"1"
"74","Barristan-Selmy","Boros-Blount","Undirected",3,"1"
"75","Barristan-Selmy","Cersei-Lannister","Undirected",12,"1"
"76","Barristan-Selmy","Eddard-Stark","Undirected",28,"1"
"77","Barristan-Selmy","Jaime-Lannister","Undirected",4,"1"
"78","Barristan-Selmy","Joffrey-Baratheon","Undirected",6,"1"
"79","Barristan-Selmy","Jon-Arryn","Undirected",4,"1"
"80","Barristan-Selmy","Meryn-Trant","Undirected",3,"1"
"81","Barristan-Selmy","Petyr-Baelish","Undirected",7,"1"
"82","Barristan-Selmy","Pycelle","Undirected",8,"1"
"83","Barristan-Selmy","Renly-Baratheon","Undirected",13,"1"
"84","Barristan-Selmy","Robert-Baratheon","Undirected",40,"1"
