"","Row.names","cls","dgr","burts","btw"
"1","Addam-Marbrand",0.000434971726837756,12,0.123964548317542,148.238587476445
"2","Aegon-Frey-(son-of-Stevron)",0.000394477317554241,4,0.367263588228867,0
"3","Aegon-I-Targaryen",0.000454959053685168,9,0.173916815857243,2174.90345203502
"4","Aegon-Targaryen-(son-of-Rhaegar)",0.000430477830391735,15,0.141445794551275,1897.53007366117
"5","Aegon-V-Targaryen",0.000330360092500826,1,1,0
"6","Aemon-Targaryen-(Dragonknight)",0.000391696043869957,1,1,0
"7","Aemon-Targaryen-(Maester-Aemon)",0.000447828034034931,26,0.0789215021801863,5996.7138234133
"8","Aenys-Frey",0.00040016006402561,4,0.306169205954137,256.23733358961
"9","Aeron-Greyjoy",0.000393700787401575,15,0.129748692169438,4082.4949778404
"10","Aerys-I-Targaryen",0.000396039603960396,1,1,0
"11","Aerys-II-Targaryen",0.000460829493087558,19,0.0756662538837383,4440.32093848025
"12","Aggar",0.000338409475465313,4,0.25,2523.90078458359
"13","Aggo",0.000371195248700817,10,0.194398886578894,31.6982076179376
"14","Alayaya",0.000414421881475342,4,0.264951276131549,794
"15","Albett",0.000388048117966628,3,0.481721940084128,0
"16","Alebelly",0.000372300819061802,4,0.397008744855967,2.25
"17","Alerie-Hightower",0.000354609929078014,2,0.539156164671288,0
"18","Alester-Florent",0.00040016006402561,7,0.229894094532157,114.515462824784
"19","Alla-Tyrell",0.000382701875239189,5,0.35676989164371,3.7109080807653
"20","Allar-Deem",0.000411692054343351,2,0.526326877442645,0
"21","Allard-Seaworth",0.000389559797428905,3,0.487447075350156,5.25952380952381
"22","Alleras",0.000343288705801579,8,0.309841067923259,4481.4637316639
"23","Alliser-Thorne",0.00045662100456621,15,0.117300629424013,699.989263261969
"24","Alyn",0.000411353352529823,5,0.266157615791938,7.27103470611535
"25","Alys-Arryn",0.000348553502962705,2,0.5,794
"26","Alys-Karstark",0.000390625,3,0.484980360719137,0
"27","Alysane-Mormont",0.000393700787401575,3,0.456643285780415,0
"28","Amabel",0.000379362670713202,2,0.818487811791383,0
"29","Amerei-Frey",0.000392310710082385,3,0.409638273783374,0.725490196078431
"30","Amory-Lorch",0.000438020148926851,20,0.10466458833915,372.884546986305
"31","Anders-Yronwood",0.000343170899107756,2,0.5,5.24508798705131
"32","Andrew-Estermont",0.000331345261762757,3,0.380292827262524,794
"33","Andrey-Dalt",0.00034965034965035,5,0.382960840730538,12.9506873005942
"34","Anguy",0.00038971161340608,9,0.227688211842987,398.465703835243
"35","Anya-Waynwood",0.000362056480811006,7,0.348574056452217,184.301520178213
"36","Archibald-Yronwood",0.000289184499710816,4,0.416804874256181,0.75
"37","Ardrian-Celtigar",0.000297619047619048,1,1,0
"38","Areo-Hotah",0.000365898280278083,9,0.20712292314768,41.1535097408679
"39","Arianne-Martell",0.00037147102526003,20,0.111236982362832,5642.68202536505
"40","Armen",0.000270416441319632,6,0.43251279446964,5.33333333333333
"41","Arnolf-Karstark",0.000397298371076679,5,0.228371852543871,826.896889947609
"42","Aron-Santagar",0.00034794711203897,1,1,0
"43","Arron",0.000299670362601139,3,0.597902399767201,0
"44","Arson",0.000387747188832881,1,1,0
"45","Arstan",0.000365497076023392,8,0.2199601127223,39.1156845060605
"46","Arthor-Karstark",0.000302023557837511,1,1,0
"47","Arthur-Dayne",0.000348918353105373,5,0.258568747648849,1671.86270157648
"48","Arwyn-Oakheart",0.00032478077297824,1,1,0
"49","Arya-Stark",0.000542593597395551,84,0.0292878667628474,27534.9976520401
"50","Arys-Oakheart",0.00041101520756268,9,0.175180883685117,559.012000634357
"51","Asha-Greyjoy",0.000442477876106195,25,0.076012108480972,10423.1078497308
"52","Ashara-Dayne",0.000321440051430408,1,1,0
"53","Aurane-Waters",0.000424448217317487,9,0.169974660087519,24.6812176509996
"54","Axell-Florent",0.000414765657403567,10,0.198068089438931,537.603042723086
"55","Azor-Ahai",0.000387296669248644,1,1,0
"56","Bael-the-Bard",0.000300120048019208,1,1,0
"57","Baelor-Blacktyde",0.000348189415041783,4,0.358035497822156,0
"58","Baelor-I-Targaryen",0.000417885499373172,3,0.34763581337167,0
"59","Ballabar",0.000407331975560081,3,0.356282585943479,794
"60","Balman-Byrch",0.000395882818685669,3,0.483958784142842,0
"61","Balon-Greyjoy",0.000458715596330275,13,0.123825698654147,3012.77611735058
"62","Balon-Swann",0.00043859649122807,16,0.101569654611188,1135.89985844214
"63","Bannen",0.000328191663931736,2,0.577899018595041,0
"64","Barbrey-Dustin",0.000409668168783286,6,0.24495205211541,57.6725952108878
"65","Barristan-Selmy",0.00048661800486618,41,0.0538923035849625,14376.1301599594
"66","Barsena",0.000348675034867503,1,1,0
"67","Bartimus",0.000328083989501312,1,1,0
"68","Bedwyck",0.000330250990752972,5,0.3201927456382,0
"69","Belaquo",0.000291036088474971,4,0.402543331037649,4.04536273024139
"70","Bellegere-Otherys",0.000379218809252939,1,1,0
"71","Belwas",0.000374391613627855,13,0.141842782019659,88.6916915320856
"72","Ben-Bones",0.000375375375375375,2,0.529844869905447,0
"73","Ben-Plumm",0.000425531914893617,9,0.185496015542131,339.774671343154
"74","Benedar-Belmore",0.000361794500723589,5,0.431910032242866,138.923496817229
"75","Benerro",0.000422297297297297,4,0.326404460086001,11.6999670134261
"76","Benethon-Scales",0.000320924261874198,2,0.617286088027085,0
"77","Benfred-Tallhart",0.00037593984962406,4,0.300519398530762,115.809628215979
"78","Benjen-Stark",0.000490196078431373,14,0.0967692941736637,1791.26902840064
"79","Beric-Dondarrion",0.000451467268623025,18,0.0996584855565551,675.345981501667
"80","Beth-Cassel",0.000392464678178964,3,0.363798503805986,0
"81","Big-Boil",0.000388048117966628,2,0.544346030002859,0
"82","Biter",0.000392618767177071,5,0.294126354245402,29.7983532005877
"83","Black-Balaq",0.00025980774227072,1,1,0
"84","Blane",0.000340715502555366,1,1,0
"85","Bloodbeard",0.00036563071297989,4,0.290917058947825,35.4170082851762
"86","Blue-Bard",0.000395413206801107,5,0.297676696727194,286.662808733081
"87","Bonifer-Hasty",0.000391696043869957,1,1,0
"88","Boros-Blount",0.000442086648983201,14,0.117127900612413,71.9327840293689
"89","Bowen-Marsh",0.000423728813559322,18,0.120217171912481,336.391759526168
"90","Bran-Stark",0.000526870389884088,54,0.0444739945673771,14174.6416741278
"91","Brandon-Norrey",0.000388048117966628,2,0.5,794
"92","Brandon-Stark",0.000425350914504466,8,0.156797103038567,145.822058722801
"93","Brea",0.000379506641366224,3,0.671989166036785,0.5
"94","Brella",0.000380952380952381,2,0.546651939513478,0
"95","Brenett",0.000380517503805175,1,1,0
"96","Brienne-of-Tarth",0.000483558994197292,45,0.0456350472353455,10179.1893789506
"97","Bronn",0.000455788514129444,25,0.0831273045848078,915.299159844756
"98","Brus-Buckler",0.000321027287319422,3,0.576720187408091,0
"99","Brusco",0.000379362670713202,2,0.700432256235828,0
"100","Bryce-Caron",0.000396825396825397,5,0.289313081782381,1633.20719248287
"101","Brynden-Rivers",0.000371747211895911,2,0.556865654298314,0
"102","Brynden-Tully",0.000467289719626168,19,0.0967130346642807,702.885969533701
"103","Bump",0.000297973778307509,1,1,0
"104","Butterbumps",0.000380372765310004,2,0.565353086419753,0
"105","Byam-Flint",0.000303766707168894,1,1,0
"106","Caggo",0.000289435600578871,5,0.328230801785165,794
"107","Caleotte",0.000360100828231905,4,0.351607902879548,23.0389311610168
"108","Camarron",0.000273897562311695,1,1,0
"109","Captain-Myraham",0.000374251497005988,1,1,0
"110","Captain-Myraham-Daughter",0.000374251497005988,1,1,0
"111","Catelyn-Stark",0.00054525627044711,75,0.0357760077559876,17350.5142111137
"112","Cayn",0.000401284109149278,3,0.380153847760453,2.32777777777778
"113","Cedra",0.000287026406429392,2,0.584266975308642,0
"114","Cedric-Payne",0.000317057704502219,1,1,0
"115","Cellador",0.000388198757763975,4,0.313878926644955,0.5
"116","Cersei-Lannister",0.000571755288736421,97,0.0322020503023003,27996.3970898934
"117","Chataya",0.000406008932196508,1,1,0
"118","Chayle",0.000371609067261241,2,0.61934499314129,0
"119","Chella",0.000406834825061025,3,0.386454792064223,0
"120","Chett",0.00039714058776807,7,0.234113206616825,30.262726130467
"121","Chiggen",0.000406669377795852,3,0.437229421269339,0
"122","Chiswyck",0.000419287211740042,13,0.177634518485851,13.4996620496894
